ko00571	Glycan biosynthesis and metabolism
ko00572	Glycan biosynthesis and metabolism
ko00730	Metabolism of cofactors and vitamins
ko00740	Metabolism of cofactors and vitamins
ko00750	Metabolism of cofactors and vitamins
ko00760	Metabolism of cofactors and vitamins
ko00770	Metabolism of cofactors and vitamins
ko00780	Metabolism of cofactors and vitamins
ko00785	Metabolism of cofactors and vitamins
ko00790	Metabolism of cofactors and vitamins
ko00670	Metabolism of cofactors and vitamins
ko00830	Metabolism of cofactors and vitamins
ko00860	Metabolism of cofactors and vitamins
ko00130	Metabolism of cofactors and vitamins
ko00900	Metabolism of terpenoids and polyketides
ko00902	Metabolism of terpenoids and polyketides
ko00909	Metabolism of terpenoids and polyketides
ko00904	Metabolism of terpenoids and polyketides
ko00906	Metabolism of terpenoids and polyketides
ko00905	Metabolism of terpenoids and polyketides
ko00981	Metabolism of terpenoids and polyketides
ko00908	Metabolism of terpenoids and polyketides
ko00903	Metabolism of terpenoids and polyketides
ko00281	Metabolism of terpenoids and polyketides
ko01052	Metabolism of terpenoids and polyketides
ko00522	Metabolism of terpenoids and polyketides
ko01051	Metabolism of terpenoids and polyketides
ko01059	Metabolism of terpenoids and polyketides
ko01056	Metabolism of terpenoids and polyketides
ko01057	Metabolism of terpenoids and polyketides
ko00253	Metabolism of terpenoids and polyketides
ko00523	Metabolism of terpenoids and polyketides
ko01054	Metabolism of terpenoids and polyketides
ko01053	Metabolism of terpenoids and polyketides
ko01055	Metabolism of terpenoids and polyketides
ko00940	Biosynthesis of other secondary metabolites
ko00945	Biosynthesis of other secondary metabolites
ko00941	Biosynthesis of other secondary metabolites
ko00944	Biosynthesis of other secondary metabolites
ko00942	Biosynthesis of other secondary metabolites
ko00943	Biosynthesis of other secondary metabolites
ko00901	Biosynthesis of other secondary metabolites
ko00403	Biosynthesis of other secondary metabolites
ko00950	Biosynthesis of other secondary metabolites
ko00960	Biosynthesis of other secondary metabolites
ko01058	Biosynthesis of other secondary metabolites
ko00232	Biosynthesis of other secondary metabolites
ko00965	Biosynthesis of other secondary metabolites
ko00966	Biosynthesis of other secondary metabolites
ko00402	Biosynthesis of other secondary metabolites
ko00311	Biosynthesis of other secondary metabolites
ko00332	Biosynthesis of other secondary metabolites
ko00261	Biosynthesis of other secondary metabolites
ko00331	Biosynthesis of other secondary metabolites
ko00521	Biosynthesis of other secondary metabolites
ko00524	Biosynthesis of other secondary metabolites
ko00525	Biosynthesis of other secondary metabolites
ko00401	Biosynthesis of other secondary metabolites
ko00404	Biosynthesis of other secondary metabolites
ko00405	Biosynthesis of other secondary metabolites
ko00333	Biosynthesis of other secondary metabolites
ko00254	Biosynthesis of other secondary metabolites
ko00999	Biosynthesis of other secondary metabolites
ko00998	Biosynthesis of other secondary metabolites
ko00997	Biosynthesis of other secondary metabolites
ko00362	Xenobiotics biodegradation and metabolism
ko00627	Xenobiotics biodegradation and metabolism
ko00364	Xenobiotics biodegradation and metabolism
ko00625	Xenobiotics biodegradation and metabolism
ko00361	Xenobiotics biodegradation and metabolism
ko00623	Xenobiotics biodegradation and metabolism
ko00622	Xenobiotics biodegradation and metabolism
ko00633	Xenobiotics biodegradation and metabolism
ko00642	Xenobiotics biodegradation and metabolism
ko00643	Xenobiotics biodegradation and metabolism
ko00791	Xenobiotics biodegradation and metabolism
ko00930	Xenobiotics biodegradation and metabolism
ko00363	Xenobiotics biodegradation and metabolism
ko00621	Xenobiotics biodegradation and metabolism
ko00626	Xenobiotics biodegradation and metabolism
ko00624	Xenobiotics biodegradation and metabolism
ko00365	Xenobiotics biodegradation and metabolism
ko00984	Xenobiotics biodegradation and metabolism
ko00980	Xenobiotics biodegradation and metabolism
ko00982	Xenobiotics biodegradation and metabolism
ko00983	Xenobiotics biodegradation and metabolism
ko03020	Transcription
ko03022	Transcription
ko03040	Transcription
ko03010	Translation
ko00970	Translation
ko03013	Translation
ko03015	Translation
ko03008	Translation
ko03060	"Folding, sorting and degradation"
ko04141	"Folding, sorting and degradation"
ko04130	"Folding, sorting and degradation"
ko04120	"Folding, sorting and degradation"
ko04122	"Folding, sorting and degradation"
ko03050	"Folding, sorting and degradation"
ko03018	"Folding, sorting and degradation"
ko03030	Replication and repair
ko03410	Replication and repair
ko03420	Replication and repair
ko03430	Replication and repair
ko03440	Replication and repair
