pathway	ENVGutDigesta1	ENVGutDigesta2	ENVGutDigesta3	ENVGutTissue1	ENVGutTissue2	ENVGutTissue3	LabGutDigesta1	LabGutDigesta2	LabGutDigesta3	LabGutTissue1	LabGutTissue2	LabGutTissue3
ko03410	15552.3373	17195.3682	14595.8695	8227.0632	10967.9823	8346.9091	27370.2105	44430.9864	37436.1782	12884.8986	17345.0245	12884.8986
ko03420	12466.9204	13578.7512	11961.5792	7330.57	9956.305	7528.0417	18160.3887	30110.9775	23624.6146	11788.13	15743.9783	11788.13
ko03430	30203.3995	34257.505	28084.0614	16217.9768	21829.8868	16561.4545	55346.0718	91627.2064	76641.1705	25723.1159	34501.0705	25723.1159
ko03440	22309.0153	25004.2397	20572.7822	10058.6919	13408.2803	10219.1944	40828.4761	67127.2731	57167.2233	15753.19	21266.1092	15753.19
ko03450	95.9	14.7	107.234	2	0	0	291.85	122.3	7.9	6	93	6
ko03460	0	0	0.2963	0	0	0	0	0	0	0	0	0
ko04020	0	0	0.8544	0	0	0	0	0	0	0	0	0
ko04068	914.1645	0	0	0	0	0	0	0	0	0	0	0
ko04112	25268.7294	28019.9138	24490.1588	12272.7381	16619.1994	12603.6875	45242.4769	74558.63	59801.2038	19719.4431	26655.7181	19719.4431
ko04113	148.579	0	0	0	0	0	277.7421	803.1733	344.6419	0	785.7837	0
ko04122	19570.6427	23439.2827	18200.68	12072.7207	17260.6127	12808.9333	50532.54	86865.3913	73108.898	20924.2833	27662.2387	20924.2833
ko04138	289.1795	261.641	273.0854	0	1.2051	1.2821	207.3333	101.0769	1.3333	3.8718	7.7692	3.8718
ko04141	781.0804	913.5703	807.9318	756.3432	1079.0874	801.4722	791.1662	1325.5886	1024.0799	1301.6481	1697.0032	1301.6481
ko04144	0	0	0	0	0.0241	0	0	0	0.0723	0	0.0843	0
ko04146	5638.2451	6925.2246	5191.8235	0	0	0	16323.0665	24199.8446	23339.1208	2573.2508	3548.8414	2573.2508
ko04152	0	0	1904.3333	0	0	0	0	0	0	0	0	0
ko04210	397.3545	523.6591	348.1255	0	0	340.5455	1747.3227	1879.5655	1921.1682	575.5151	764.9713	575.5151
ko04213	3302.0103	4072.3645	3244.9703	1965.4728	2722.1134	2043.6897	9229.9162	13785.7476	13344.8021	3251.9069	4372.6	3251.9069
ko04214	2155.1161	2661.8243	2007.7046	1327.6325	1866.1889	1391.4643	5400.0704	8288.7657	6959.0254	2250.2021	2989.3861	2250.2021
ko04310	0	0	0.0167	0	0	0	1.3195	0.8167	0	0	0	0
ko04614	1582.9609	2229.7945	1430.6373	2.7273	2	0.8182	6566.5918	9960.8318	10559.2245	3.8482	127.5	3.8482
ko04621	1574.4646	2246.8776	0	1049.1245	1470.7065	1099.7887	0	9223.9869	0	0	0	0
ko04624	0	0	0	0	0.069	0	0	0.5172	0.2069	0	0.5172	0
ko04626	3947.034	5196.0556	3662.0319	1791.2056	2456.8409	1855.0233	13550.2435	21423.704	19981.5581	2925.693	4002.4126	2925.693
ko04714	1598.047	1907.1613	1416.9738	0	0	0	4464.2947	7205.2768	0	0	0	0
ko04910	1349.9141	1514.2089	1254.2311	0	606.8541	459.3864	1997.6007	3730.9841	3267.8609	715.6625	988.1864	715.6625
ko04928	0	0	191.6123	0	0	0	0	0	0	0	0	0
ko04974	716.5491	720.14	706.7476	0.303	0.9697	2.2121	92.0809	142.2352	207.4433	0.4242	18.3636	0.4242
ko04978	2597.9606	2942.2589	2305.4678	0	2901.405	0	5283.6094	7811.1239	6984.6433	3478.6939	4592.6883	3478.6939
ko05010	0	0	710.9922	0	0	0	2512.545	0	0	1092.3738	1439.5751	1092.3738
ko05012	0	0	0	0	0	0	0	0	0	1618.7576	2145.0671	1618.7576
ko05017	279.5431	0	266.9867	0	0	0	1070.2198	0	949.1595	0	719.3319	0
ko05100	0.7657	0.0405	1.7073	0	0.1081	0	1.3919	0.6351	0.5405	0	1.7838	0
ko05110	93.72	421.76	55.9	0	0.24	0	2681.48	3261.1952	4104.6552	0	13.12	0
ko05111	14511.4723	17729.1692	12022.2589	3412.7542	4881.8308	3617.3208	41759.9658	70341.0581	67042.2304	5919.0891	8063.3943	5919.0891
ko05120	1508.008	1688.6141	1369.8839	483.8941	604.4102	470.4348	3061.0828	4962.9665	4396.8424	686.152	959.3226	686.152
ko05130	0	0	0	0	0	0	0	0	4160.9463	0	1127.8808	0
ko05132	0	0	1738.8624	0	0	0	6503.7786	0	9094.0557	0	2483.6704	0
ko05133	1314.7445	1517.0355	1037.358	0	0	0	3828.3167	5421.271	6203.524	4.437	56.7168	4.437
ko05134	4121.1986	5673.8923	4047.9774	3122.2526	4444.6331	3302.8571	15433.8466	22968.556	21066.9191	5392.0851	7202.2949	5392.0851
ko05142	422.4784	614.5753	0	0.4651	0.3721	0.9535	0	2782.0081	0	0.4495	27.7384	0.4495
ko05143	0	0	735.8371	0	0	0	3476.7343	0	5663.7838	0	0	0
ko05146	470.9311	490.3082	351.9111	0	0	0	953.6166	1167.9689	0	4.0984	30.9786	4.0984
ko05150	0	0	12.4911	0	2.3784	0	0	35.5676	5.8649	0.8197	21.3176	0.8197
ko05152	0	0	0	0	0	0	5086.3283	7085.9405	0	0	0	0
ko05322	0.2174	0.1739	0.0726	0	0.2609	0	1.8696	1.1087	0	0	0	0
