sequence	16S_rRNA_Count	metadata_NSTI
0c60118378861f8bb57e0f118e02d443	2	0.199006
0cae28cb2f256256bbfb6880bdd27823	1	0.465811
0d357c8195cc627ee014c3c5473a6846	4	0.057248
0da9602eaa48c49b7f5abddfd4d20bbb	1	0.035052
0e181556dd16bc629be4c1d633731c61	1	0.03217
0e42daf5e5f142d428aa227c09dc6030	1	0.012356
0e86fd0fe560c3e645ff88cc7e42635e	1	0.84029
0ef10d54415d609d3edc4c32a24bbdb8	1	0.630235
0f9f61b3fc6240bf37970afadf518723	10	2.581495
0fd83254fec6967e32ef39fbf05ee6ed	1	0.21796999999999997
10ee74835d4d24cdef35339c92a938ac	1	0.337449
114d90a4c8ddd9175e803c3490fcf135	1	0.321156
1165ab13004b1a4cb8b5f3063cfab219	1	0.06583
1285900fe00c46263f9630aa3fc8b8cd	1	0.139194
12aeed89c3365915ac215dd5eeffc7c9	1	0.10626300000000001
131dabc760cacbfea4ab8251122bb5d9	1	0.8775280000000001
1324b722c6ae1f5af4210a0e28f93b56	1	0.00015
13c56ab9862a03252a96441819f327a8	1	0.527567
149b4f429777ef5ae70836683835ad48	1	0.21796999999999997
152fa36dd4b0bb8f65a9c3dd58a81ae9	1	0.46963999999999995
154d6a12c8acc5d2e16c663e0a803d37	1	0.297754
15ef3553ce2ab6453f5cc6505c483542	1	0.46738500000000005
167a9b259ac5f1a7d1f53cd5739aceca	1	1.146867
1684ba223c85ccc9d5b5e142aede60b0	1	0.76157
16c6e5ee0506b7b8d281d349361df4a4	1	0.677327
176a1b73b56bd473e3496c103c4199e5	1	0.055086
1824b94db3ba4ad470b4ef5580939b63	7	0.09813200000000001
183f299aa155766750b42e8a2ac9f4a5	1	0.16526400000000002
183f66fa31190471d89523c3cb58632b	1	0.598841
18c9ae37b8d2dc21dd64595dff430d1e	2	0.136275
18dce0abaf0a3d2b038545d1e9536454	1	0.46284
19970ead855e50ce2d315a00a7215caf	1	0.278602
1a23272bda7dbd3bd12860278e853693	2	0.329773
1a6a23174fd452cd5daf624a1dcbcd41	1	0.552714
1a7458a605ea503c62ad96ab7f250fef	1	0.064706
1b098440b4da3e710786a5964d6bda2b	1	0.290375
1b121abf9cd29208c8c6361701e6531f	1	0.156703
1b999a706e413265df2dc654e80e28a2	1	1.462931
1c79e600baeffad8f27762755af186b6	1	0.481476
1ca47cd8d2ccb9a62c48c9eda6e22b57	2	0.12779300000000002
1ccb26d86903ccff3684f1f325ae4394	1	0.381718
1cdcce1f33cc356559e40f569ee9183b	1	0.053771000000000006
1d2f26a55cb964ddbf6d14055cde7aec	1	0.861017
1db4ce7546634a39bc7cece515ab2715	1	0.35876199999999997
1dde340beb7d42fd6e5f2d2c61f8c0ac	1	0.010827
1e26d8fbcc756cee9161bad5d8742b0f	10	6.075377
1eabe4c8773e10faf7234736232d6e8d	1	0.331074
1ec5c7f6950249325a3990bde63c730c	1	0.29457300000000003
1f0939f93f3d174da836688aa709d797	1	0.271059
1f7598cf6e2327044ecfce9696dc1b43	2	0.42862
1f8e9b2bf1c23201cd0f7ac8ada43a43	1	0.019365
1f9b205b5a7ff177f8e5c9c1dfb3bc48	1	0.178892
1fad71b176e88298369484644d2dc00b	3	0.208796
1fbd0034b5d4a47f37772b16e7fd8ef5	1	0.727379
208a08b90e13b04d2ef2f584535a2d39	2	0.00015
20a85289d5f0af8c4f5e31cc474d097f	1	0.757225
21212fe391e6619ed962955aa67648a8	1	0.26168800000000003
2188a264fc0c658607d2fefa8f852dd4	1	0.6038140000000001
21a7eb38047e0b05406b69dfb75de134	1	0.349505
21b7f46097c96233b7fcb6db636c45ac	2	0.240497
222611a072702fe4bd2974b5926576eb	1	0.535388
22b20be539c66db4340132f3b70fc270	1	0.29298
22b545cd4650317c5335dc492e3bf8cf	1	0.033908999999999995
237e21e3e998261cefbbf9b68f5386b4	6	1.30571
239c61e6124cbc17eb3f86969f73b9aa	1	0.081175
243bd20782d592ea60b0a1b7f8e025e7	1	0.23669
243ed55852f6e36db83293ec34c7e7ce	1	0.643633
246ccf2917bfc4d1b26a562b4011990f	1	0.239758
25ad452d4608156906fb5938b21ac702	1	0.33524
260138ef2256a26fa4d1ec1521c60c5b	1	0.518253
261a908c1ba08cbd088376ba4679c091	2	0.02483
26329fc1bda17c84d90b933c6813bc3f	1	0.5137109999999999
263e41ea2c25dc87bd2ff5910cf30d40	1	0.00015
264624e8bcd64941bb0e177116341e8e	1	0.467884
26abbde29cd5778e74e47749bcba387b	1	0.3398
271bede2a86b890a0972ba4237438921	1	0.19673800000000002
27277e586a34f3402d60348485fceb46	1	0.393104
2750722de0e98a374aeb5fef393a5a1e	1	0.171069
27712d2f128808e9b441d8800ad2d29d	2	0.078694
278437a2618a4b56edf0c8efa8b90949	1	0.78303
278d6a1575f7d88eba2015af14532243	1	0.16128900000000002
2808521580b6f0aceb956c4a3ee44868	1	0.12219200000000001
280ab39deebba21f36c30138023fb08b	1	0.143784
296eda6d33609a16a9f702f1dabcb36a	1	0.277713
29869a8572a44c780d4402d7e6cf17a0	1	0.21796999999999997
